Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
SPARKLING GREEN TEA ORG 12 OZ,1.49,0 ,0 g,N/A,N/A,N/A,5 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
MARULA OIL,6.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COLD BREW BLACK TEA ORG RASPBERRY BLACK CURRANT,0.99,45 ,0 g,N/A,N/A,N/A,20 mg,10 g,N/A,10 g,0 g,N/A,N/A,0.2 mg,N/A
ORGANIC COLD BREW GREEN TEA LEMON,0.99,45 ,0 g,N/A,N/A,N/A,20 mg,10 g,N/A,10 g,0 g,N/A,N/A,0.2 mg,N/A
CANDY COATED CHOCOLATES,2.99,140 ,7 g,4.0 g,0 g,less than 5mg mg,10 mg,21 g,less than 1g g,19 g,1 g,0.3 mcg,20 mg,1.1 mg,80 mg
CANDY COATED CHOC PEANUTS,2.99,160 ,9 g,3.5 g,0 g,0 mg,35 mg,16 g,2 g,13 g,4 g,0 mcg,20 mg,0.8 mg,130 mg
BELGIAN BUTTER WAFFLE COOKIES,2.99,150 ,6 g,4 g,0 g,20 mg,55 mg,21 g,0 g,10 g,2 g,0 mcg,5 mg,0 mg,35 mg
SUNSCREEN SPRAY SPF 50,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ORG SRCH & RSTD GARLIC BBQ SCE,3.49,60 ,0 g,0 g,0 g,0 mg,200 mg,14 g,0 g,12 g,0 g,,,,
RIDGE CUT POTATO CHIPS SEA SALT,3.99,150 ,8 g,0.5 g,0 g,0 mg,75 mg,17 g,1 g,1 g,2 g,0 mcg,0 mg,0 mg,320 mg
CRACKERS CRISP STRAWBERRY AND JALAPENO,3.99,90 ,2.0 g,0 g,0 g,0 mg,130 mg,15 g,less than 1g g,5 g,2 g,0 mcg,20 mg,0.7 mg,10 mg
RUM OF THE GODS WHITE 750ML,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BAKING MIX CASSAVA CAULIFLOWER,3.99,100 ,0 g,0 g,0 g,0 mg,75 mg,24 g,2 g,1 g,2 g,0 mcg,70 mg,0.5 mg,360 mg
TRADER JOE' KENTUCKY BEST BOURBON 750ML,12.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
POPCORN KEY LIME,2.29,150 ,7 g,4.5 g,0 g,0 mg,60 mg,22 g,less than 1g g,15 g,less than 1g g,0.0 mcg,0 mg,0.2 mg,20 mg
OIL CANOLA SPRAY ORGANIC,2.99,0 ,0 g,N/A,N/A,N/A,0 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
SPICY PORKLESS RINDS,2.99,130 ,5.0 g,0 g,0 g,0 mg,170 mg,15 g,0 g,0 g,7 g,0.0 mcg,10 mg,1.9 mg,80 mg
TRADER JOE'S TX VODKA,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CORN & QUINOA MEXICAN SALAD,4.99,140 ,7 g,1.5 g,0 g,10 mg,190 mg,16 g,2 g,3 g,4 g,,,,
PICTON BAY NZ SAUV BLANC..,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FROZEN BAGUETTES MINI FRENCH,4.49,110 ,0 g,0 g,0 g,0 mg,270 mg,22 g,1 g,2 g,4 g,0.0 mcg,10 mg,0.4 mg,60 mg
SPARKLING LEMONADE 4 PK,3.99,70 ,0 g,N/A,N/A,N/A,15 mg,18 g,N/A,17 g,0 g,N/A,N/A,N/A,N/A
HONEY ORG SPICY SAUCE,2.99,70 ,0 g,0 g,0 g,0 mg,0 mg,17 g,0 g,16 g,0 g,,,,
MOBAY,6.99,100 ,8 g,6 g,0 g,30 mg,75 mg,2 g,0 g,0 g,6 g,0.0 mcg,200 mg,0.1 mg,30 mg
MEAL INDIAN JAIPUR VEGETABLES,2.29,180 ,13 g,3.5 g,0 g,15 mg,420 mg,12 g,3 g,5 g,6 g,0 mcg,80 mg,1.4 mg,230 mg
MEAL INDIAN MADRAS LENTILS,2.49,150 ,6 g,3 g,0 g,15 mg,510 mg,17 g,5 g,1 g,7 g,0.1 mcg,40 mg,2.1 mg,360 mg
SICILIAN SELEZIONE EVOO,8.49,120 ,14 g,2 g,0 g,N/A,0 mg,0 g,N/A,N/A,0 g,N/A,N/A,N/A,N/A
DOLMAS QUINOA STUFFED VINE LEAVES,2.99,120 ,7 g,1.0 g,0 g,0 mg,440 mg,12 g,2 g,1 g,2 g,,,,
GINT BKD BEANS IN TOMATO SAUCE,1.99,130 ,5 g,1 g,0 g,less than 1 mg,460 mg,14 g,N/A,N/A,5 g,,,,
RICE ORG BASMATI FROM INDIA,4.49,160 ,0 g,0 g,0 g,0 mg,0 mg,35 g,Less than 1 g,0 g,4 g,0 mcg,0 mg,0.3 mg,10 mg
TANDOORI NAAN,2.99,250 ,2.5 g,1 g,0 g,5 mg,350 mg,50 g,3 g,2 g,6 g,0.2 mcg,80 mg,2.6 mg,100 mg
ORGANIC BAGUETTE,1.99,140 ,0.5 g,0 g,0 g,0 mg,260 mg,29 g,Less than 1 g,0 g,4 g,0.1 mcg,10 mg,1.7 mg,60 mg
ITALIAN TRUFFLE CHEESE,13.99,100,8g,6g,0g,25mg,240mg,10g,N/A,0g,7g,,,,
SHARP NEW ZEALAND CHEDDAR,6.99,120,10g,6g,0g,25mg,200mg,0g,N/A,0g,7g,,,,
VILLA CERRINA MONTEPULCIANO,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
THAI LIME & CHILI CASHEWS,7.99,180 ,14 g,2.5 g,0 g,0 mg,65 mg,9 g,2 g,2 g,6 g,0.0 mcg,20 mg,1.3 mg,150 mg
PASTA ORG ITALIAN GIGLI,2.99,200 ,0 g,0 g,0 g,0 mg,0 mg,43 g,Less than 1g,1 g,7 g,0.0 mcg,10 mg,0.6 mg,100 mg
SPICY THAI SHRIMP FRIED RICE,5.99,220 ,5 g,2.0 g,0 g,15 mg,400 mg,37 g,less than 1 g,2 g,7 g,0.8 mcg,20 mg,0.4 mg,130 mg
MEAL INDIAN TIKKA VEGETABLES,2.49,150 ,8 g,4.0 g,0 g,15 mg,340 mg,16 g,3 g,5 g,4 g,0.0 mcg,40 mg,1.6 mg,30 mg
GIANT CHALKIDIKI OLIVES,2.49,20 ,2.0 g,0 g,0 g,0 mg,180 mg,0 g,0 g,0 g,0 g,0 mcg,8.3 mg,0.03 mg,10.3 mg
KIWI ORG 1LB,4.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VEGETABLE PAD THAI,3.49,360 ,11 g,4.5 g,0 g,0 mg,950 mg,55 g,5 g,27 g,10 g,0 mcg,50 mg,2.0 mg,410 mg
SPANAKOPITA GREEK SPINACH AND CHEESE PIE,4.49,190 ,12 g,3.5 g,0 g,10 mg,300 mg,15 g,1 g,Less than 1 g,5 g,0.03 mcg,110 mg,1.25 mg,90 mg
PASTA RAVIOLI ITALIAN RICOTTA & LEMON,3.99,240 ,12 g,7 g,0 g,65 mg,420 mg,26 g,1 g,6 g,7 g,0 mcg,100 mg,1 mg,90 mg
EURO STYLE CULTURED  BUTTER SALTED,4.69,100 ,11 g,8 g,0 g,35 mg,100 mg,0 g,0 g,0 g,0 g,,,,
CAULIFLOWER CRUSTS,4.99,120 ,6 g,3.0 g,0 g,75 mg,260 mg,4 g,1 g,1 g,10 g,0.3 mcg,240 mg,0.7 mg,210 mg
ST ANDRE TRIPLE CREAM BRIE,13.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEAL INDIAN YELLOW TADKA DAL,2.49,130 ,5 g,2 g,0 g,5 mg,400 mg,17 g,4 g,0 g,6 g,0 mcg,50 mg,1.8 mg,380 mg
LA FERME JULIEN ROSE.,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SCALLOPS PERUVIAN BAY FARM RAISED,8.99,100 ,0 g,0 g,0 g,30 mg,90 mg,9 g,0 g,1 g,17 g,0 mcg,10 mg,0 mg,370 mg
POPCORN IN A PICKLE,1.99,160,10 g,1.0 g,0 g,0 mg,310 mg,16 g,3 g,0 g,2 g,0 mcg,10 mg,0.6 mg,60 mg
TANGERINE MANGO CANDLE,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CONES ORGANIC SUGAR,2.99,45,0 g,0 g,0 g,0 mg,15 mg,11 g,0 g,4 g,less than 1g g,0.0 mcg,0 mg,0.2 mg,30 mg
ICE CREAM UBE PINT,3.79,200 ,11 g,7 g,0 g,55 mg,75 mg,22 g,Less than 1g g,18 g,4 g,1.4 mcg,120 mg,0.2 mg,250 mg
BEEF CAN DOG FOOD 13OZ,1.59,|Calorie Content (Calculated) ME: 1,317 kcal/kg; 485 kcal/can|,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CHICKEN CAN DOG FOOD 13OZ,1.59,|Calorie Content (Calculated) ME: 1,115 kcal/kg; 410 kcal/can|,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ICE CREAM SOUTHERN PEACH CRISP,2.99,220 ,11 g,7 g,0 g,35 mg,55 mg,27 g,0 g,24 g,4 g,0.4 mcg,130 mg,0.1 mg,100 mg
BAKING MIX GF UBE MOCHI PANCAKE,3.99,220 ,0 g,0 g,0 g,0 mg,380 mg,52 g,less than 1g g,13 g,3 g,0.0 mcg,130 mg,0.4 mg,0 mg
VEGAN CHICKPEA MASALA SALAD,4.99,230 ,16 g,1.0 g,0 g,0 mg,290 mg,17 g,3 g,5 g,5 g,,,,
TJ GR RES CAB RUTHERFORD,12.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ GR RES CAB SAUV RUTHERFORD LOT 102,12.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARSHMALLOWS,2.99,100 ,0 g,0 g,0 g,0 mg,20 mg,24 g,0 g,17 g,0 g,0 mcg,0 mg,0 mg,20 mg
SUCCULENT LARGE,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MINI SUCCULENT,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KETCHUP BLACK SUMMER TRUFFLE,3.49,15 ,0 g,N/A,N/A,N/A,85 mg,3 g,N/A,2 g,0 g,N/A,N/A,N/A,
BBQ SAUCE PINEAPPLE ORGANIC,2.99,50 ,0 g,0 g,0 g,0 mg,260 mg,11 g,0 g,10 g,0 g,,,,
PEACHES & CREAM TARTE,5.99,300 ,17 g,8 g,0 g,10 mg,270 mg,34 g,N/A,N/A,3 g,N/A,12.5916 mg,1.2192 mg,35 mg
HOLD THE CONE! CHOC CHIP,3.99,280 ,13 g,8 g,0 g,25 mg,100 mg,35 g,2 g,22 g,4 g,0 mcg,210 mg,2.7 mg,160 mg
CHCKN SKEWERS W/MANGO CHUTNEY,6.99,170,7 g,1.5 g,0 g,80 mg,670 mg,12 g,N/A,N/A,19 g,N/A,,,N/A
BRANZINO EUROPEAN SEABASS FILLETS,10.99,110 ,2.5 g,0.5 g,0 g,45 mg,75 mg,0 g,0 g,0 g,21 g,6.3 mcg,10 mg,0.3 mg,290 mg
BAR TANGERINE CREAM,3.49,250 ,10 g,6 g,0 g,45 mg,40 mg,34 g,0 g,32 g,3 g,0.8 mcg,100 mg,0.0 mg,160 mg
BBQ PULLED CHICKEN,5.99,200 ,3.5 g,1.0 g,0 g,70 mg,730 mg,23 g,less than 1g g,19 g,18 g,0 mcg,90 mg,2.3 mg,440 mg
WATERMELON STICKS DARK CHOC,3.49,120 ,2.5 g,1.5 g,0 g,0 mg,10 mg,24 g,less than 1 g,18 g,0 g,0.1 mcg,0 mg,0.6 mg,30 mg
GUMMY TURTLES TANGY,1.99,130 ,0 g,0 g,0 g,0 mg,0 mg,31 g,0 g,20 g,2 g,0 mcg,0 mg,0.1 mg,0 mg
BON BONS COOKIES & CREME VEGAN,3.99,110 ,7 g,6 g,0 g,0 mg,35 mg,10 g,0 g,8 g,less than 1 g,0 mcg,0 mg,0.6 mg,70 mg
WATERMELON OVERNIGHT FACE MASK,6.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KEY LIME PIE,5.99,400 ,17 g,10 g,0 g,135 mg,240 mg,54 g,Less than 1 g,39 g,6 g,0.5 mcg,140 mg,0.9 mg,220 mg
POTATO CHIPS PATIO,2.69,140 ,8 g,0.5 g,0 g,0 mg,270 mg,17 g,1 g,1 g,2 g,0 mcg,10 mg,0.5 mg,320 mg
PICKLES SPICY KOSHER DILL,2.99,5 ,0 g,0 g,0 g,0 mg,180 mg,1 g,less than 1g g,0 g,0 g,0.0 mcg,10 mg,0.0 mg,40 mg
SALSA BLOODY MARY,2.69,10 ,0 g,0 g,0 g,0 mg,105 mg,2 g,0 g,1 g,0 g,,,,
BLUE SHELL SAUV BLANC,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COLD PRESSED WATERMELON,2.99,140 ,0 g,0 g,0 g,0 mg,5 mg,32 g,0 g,32 g,3 g,,,,
TJ PET RES CHARD MENDOCINO,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVE OLIVIA PEACH,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOVE OLIVIA WATERMELON,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HIGH GUARD CHARD,6.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CECILIA BERETTA PROSECCO ROSE,10.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HUMMUS DILL PICKLE,1.99,50 ,3.0 g,0 g,0 g,0 mg,170 mg,5 g,1 g,0 g,2 g,0.0 mcg,10 mg,0.4 mg,60 mg
BANANA BREAD MIX,2.99,170,0g,0g,0g,0mg,360mg,39g,1g,23g,3g,0mcg,20mg,1mg,103mg
GRAIN FREE PEANUT BUTTER BANANA DOG TREAT,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COLD BREW CONCENTRATE COCONUT,5.99,10 ,0 g,N/A,N/A,N/A,0 mg,2 g,N/A,N/A,Less than 1 g,N/A,10 mg,N/A,300 mg
MADELEINES,2.99,150 ,7 g,4.5 g,0 g,40 mg,65 mg,18 g,0 g,11 g,2 g,,,,
HAMBURGER BUNS GLUTEN FREE,3.99,220 ,6 g,0.5 g,0 g,0 mg,510 mg,39 g,2 g,6 g,5 g,0 mcg,40 mg,1.2 mg,70 mg
PASTRY CITRUS MOUSSE CAKES,3.49,330 ,16 g,12 g,0 g,20 mg,130 mg,44 g,0 g,32 g,3 g,0.2 mcg,50 mg,0.1 mg,60 mg
PASTA RAVIOLI SWEET CORN BASIL BURRATA,3.99,210 ,7 g,3.5 g,0 g,40 mg,450 mg,30 g,5 g,2 g,9 g,0 mcg,100 mg,1.5 mg,270 mg
R-DATES PITTED ORGANIC MEDJOOL,6.49,120 ,0 g,0 g,0 g,0 mg,0 mg,29 g,3 g,26 g,Less than 1 g,,,,
CUCUMBERS PERSIAN 14 OZ,2.29,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUCUMBERS PERSIAN 1 LB,2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CUT VEGGIE KABOBS 12OZ,5.99,20 ,0 g,0 g,0 g,0 mg,0 mg,5 g,1 g,2 g,1 g,0 mcg,10 mg,0.3 mg,220 mg
COCONUT WATER ORGANIC,2.29,70 ,0 g,N/A,N/A,N/A,35 mg,18 g,N/A,11 g,0 g,N/A,60 mg,N/A,650 mg
LEMONADE FRESH SQUEEZED 52 OZ,3.69,120,0g,0g,0g,0mg,0mg,30g,0g,28g,0g,0mcg,10mg,0mg,50mg
HOT DOG BEEF ORG,6.99,130 ,10 g,4.5 g,0 g,30 mg,310 mg,1 g,N/A,N/A,9 g,N/A,,,N/A
DIP VEGAN CARAMELIZED ONION,4.29,70 ,5 g,4.5 g,0 g,0 mg,170 mg,4 g,0 g,less than 1 g,0 g,,,,
DIP VEGAN TZATZIKI,4.29,50 ,4.5 g,4.0 g,0 g,0 mg,130 mg,2 g,0 g,0 g,0 g,,,,
WATERMELON SPREAD ORGANIC,2.99,30 ,0 g,0 g,0 g,0 mg,5 mg,8 g,0 g,8 g,0 g,0.0 mcg,20 mg,0.3 mg,10 mg
R-ARUGULA LEMON BASIL COMPLETE SALAD KIT,3.99,150 ,13 g,2 g,0 g,less than 5 mg,230 mg,7 g,2 g,4 g,4 g,0 mcg,140 mg,1.1 mg,280 mg
CARNE ASADA,11.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ORGANIC GRND BEEF PATTY 85/15,8.99,240 ,17 g,7 g,1.0 g,75 mg,75 mg,0 g,0 g,0 g,21 g,N/A,,,N/A
CARNE ASADA,10.99,varied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PARMESAN PASTRY PUPS,4.99,270 ,20 g,9 g,1 g,50 mg,490 mg,19 g,N/A,N/A,8 g,N/A,,,170 mg
NATURAL BONE IN CKN THIGH,1.99,250 ,19 g,5 g,0 g,110 mg,90 mg,0 g,0 g,0 g,19 g,0.1 mcg,10 mg,0.8 mg,230 mg
SUNSCREEN SPRAY ZINC OXIDE SPF 30,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
COFFEE SELECT HARVEST PEABERRY TANZANIA COLOMBIA,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ'S BLANCO TEQUILA,19.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PICKLED SAUERKRAUT RAW W/PERSIAN CUCUMBERS,4.49,5 ,0 g,0 g,0 g,0 mg,200 mg,2 g,less than 1g,less than 1g,0 g,,,,
MIXED NUT DUO EVERYTHING BAGEL,3.99,180 ,15 g,2 g,0 g,0 mg,160 mg,6 g,2 g,2 g,6 g,0 mcg,50 mg,1.2 mg,170 mg
MILK ULTRA - FILTERED CHOCOLATE REDUCED FAT 2%,3.99,150 ,5 g,3.0 g,0 g,0 mg,210 mg,14 g,1 g,13 g,14 g,2.9 mcg,350 mg,10.4 mg,230 mg
APRICOTS 1 LB,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MILK ULTRA - FILTERED REDUCED FAT 2%,3.99,,5g,3g,0g,25mg,60mg,7g,2g,6g,14g,3mcg,430mg,0.2mg,270mg
SALTED TORTILLA CHIPS 2 LB,3.49,140 ,6 g,0.5 g,0 g,0 mg,30 mg,19 g,1 g,0 g,2 g,0 mcg,20 mg,0.3 mg,60 mg
POTATO CHIPS DILL PICKLE,2.99,140 ,7 g,0 g,0 g,0 mg,270 mg,18 g,0 g,1 g,2 g,0 mcg,10 mg,0.4 mg,340 mg
FRUITY CHEWY CANDY,3.29,120 ,1.5 g,1 g,0 g,N/A,50 mg,28 g,N/A,15 g,0 g,N/A,N/A,N/A,N/A
GRANOLA JUST THE GRAINLESS CLUSTERS,4.29,340 ,28 g,11 g,0 g,0 mg,200 mg,19 g,7 g,8 g,9 g,0 mcg,60 mg,2.5 mg,350 mg
FRUIT SPREAD PINEAPPLE,3.49,25 ,0.5 g,0.5 g,0 g,0 mg,5 mg,6 g,0 g,5 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
BAR OAT CHOCOLATE FUDGE,3.49,100 ,4.0 g,1.5 g,0 g,0 mg,25 mg,14 g,less than 1 g,12 g,less than 1 g,0 mcg,0 mg,0.2 mg,30 mg
SHAW PINOT NOIR ORG GROWN,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHAW PINOT GRIGIO ORG GROWN,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHAW RED BLEND ORG GROWN,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOWL PASTA BOLOGNESE VEGAN,3.49,430 ,10 g,1.5 g,0 g,0 mg,690 mg,55 g,13 g,10 g,30 g,0 mcg,90 mg,5.4 mg,1540 mg
JALAPENO PIECES CRISPY,2.99,40 ,3.0 g,0 g,0 g,0 mg,20 mg,3 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.3 mg,20 mg
PASTA SAUCE CAJUN ALFREDO,3.99,90 ,6 g,3.0 g,0 g,15 mg,510 mg,6 g,0 g,less than 1 g,1 g,,,,
DORADE MEDITERRANEAN IN OLIVE OIL,3.99,190 ,8 g,2.0 g,0 g,50 mg,125 mg,0 g,0 g,0 g,29 g,,,,
SAUSAGE ORG ITAL CHICKEN,5.99,110 ,6 g,1.5 g,0 g,60 mg,410 mg,1 g,N/A,N/A,12 g,N/A,13.192 mg,0.5916 mg,N/A
SLCD TURKEY RSTED ORG,5.49,45 ,0.5 g,0 g,0 g,25 mg,310 mg,0 g,N/A,N/A,10 g,N/A,,,N/A
BACON ABF NO SUGAR LOWER SODIUM,4.99,60 ,5.0 g,2.0 g,0 g,10 mg,150 mg,0 g,0 g,0 g,4 g,0.0 mcg,0 mg,0.2 mg,40 mg
BAMBA PEANUT SNACKS,1.79,160 ,9 g,1.0 g,0 g,0 mg,115 mg,15 g,2 g,less than 1 g,5 g,0 mcg,10 mg,0.3 mg,110 mg
CULTURED COCO MILK BLUEBERRY,1.49,170 ,8 g,7 g,0 g,0 mg,25 mg,23 g,0 g,14 g,Less than 1 g,,,,
BUFFALO STYLE CHICKEN POPPERS,5.49,240 ,12 g,3.5 g,0 g,20 mg,340 mg,25 g,1 g,1 g,8 g,0 mcg,40 mg,1.0 mg,70 mg
SIDE MEDITERRANEAN ORZO PASTA SALAD,4.99,200 ,7 g,1.5 g,0 g,5 mg,380 mg,28 g,3 g,3 g,7 g,0.1 mcg,80 mg,1.6 mg,210 mg
LICORICE SOFT TWIST BLACK,2.99,100 ,0 g,0 g,0 g,0 mg,35 mg,23 g,0 g,12 g,Less than 1g,0 mcg,20 mg,0.4 mg,60 mg
LICORICE SOFT TWIST STRAWBERRY,2.99,110 ,1 g,0 g,0 g,0 mg,29 mg,23 g,less than 1 g,11 g,1 g,0 mcg,0 mg,0.4 mg,0 mg
FIVE SEED ALMOND BARS,4.99,100 ,4.0 g,1.5 g,0 g,15 mg,100 mg,16 g,Less than 1g,8 g,2 g,0 mcg,20 mg,0.5 mg,50 mg
FLATBREAD INDIAN STYLE GARLIC,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FLATBREAD INDIAN STYLE,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SPICY CHAKRI INDIAN STYLE MIX,3.29,140 ,9 g,1.0 g,0 g,0 mg,210 mg,13 g,1 g,0 g,3 g,0 mcg,10 mg,0.8 mg,110 mg
VEG SOY CHORIZO,2.99,130 ,7 g,1 g,0 g,0 mg,660 mg,8 g,5 g,1 g,8 g,,,,
MANGO JUICE 8.45 OZ 4 PK,3.99,130 ,0 g,0 g,0 g,0 mg,45 mg,33 g,1 g,29 g,0 g,0 mcg,20 mg,0.5 mg,250 mg
PASTA SAUCE BOLOGNESE 24 OZ,4.49,70 ,4.0 g,1.0 g,0 g,10 mg,500 mg,6 g,1 g,3 g,4 g,0 mcg,20 mg,1.1 mg,320 mg
HONEY MOON VIOGNIER,5.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UNBLEACHED ORGANIC AP FLOUR,4.99,110 ,0 g,0 g,0 g,0 mg,0 mg,23 g,less than 1 g,0 g,3 g,0 mcg,0 mg,0.4 mg,30 mg
PARMESAN GRATED CHEESE,3.49,25 ,1.5 g,1.0 g,0 g,5 mg,85 mg,0 g,0 g,0 g,2 g,0.0 mcg,60 mg,0 mg,10 mg
SUPER LEMON ROOM SPRITZ,1.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ORG DARK CHOC 92% MADAGASCAR HEIRLOOM,1.49,160 ,13 g,8 g,0 g,0 mg,0 mg,8 g,0 g,2 g,3 g,0 mcg,30 mg,2.0 mg,120 mg
ORG DARK CHOC 63% SEA SALT & NIBS MADAGASCAR HEIRL,1.49,150 ,10 g,6 g,0 g,0 mg,30 mg,12 g,less than 1 g,8 g,2 g,0 mcg,20 mg,1.1 mg,80 mg
ALMONDS DARK CHOC AMPED-UP,0.01,380 ,29 g,10 g,0 g,0 mg,120 mg,23 g,6 g,14 g,16 g,0 mcg,100 mg,6.7 mg,450 mg
COCONUT COFFEE AND BOBA NON DAIRY FROZEN DESSERT,3.49,230 ,9 g,8 g,0 g,0 mg,65 mg,37 g,1 g,24 g,0 g,0 mcg,10 mg,0.5 mg,220 mg
CHOCOLATE PEANUT BUTTER WAFER COOKIE,0.99,350 ,20 g,9 g,0 g,less than 5 mg,180 mg,37 g,1 g,17 g,6 g,,,,
APPLE CIDER VINEGAR LEMON GINGER BEVERAGE,1.99,35 ,0 g,0 g,0 g,0 mg,15 mg,9 g,0 g,8 g,0 g,0.0 mcg,10 mg,0.2 mg,90 mg
APPLE CIDER VINEGAR STRAWBERRY LEMON BEVERAGE,1.99,35 ,0 g,0 g,0 g,0 mg,15 mg,9 g,0 g,8 g,0 g,0.0 mcg,10 mg,0.3 mg,90 mg
R-JICAMA WRAP,4.49,15 ,0 g,0 g,0 g,0 mg,0 mg,3 g,2 g,less than 1g,0 g,0 mcg,0 mg,0.2 mg,50 mg
SPARKLING BLACK TEA PEACH 4 PK,3.99,15,0 g,N/A,N/A,N/A,15 mg,3 g,N/A,2 g,0 g,N/A,N/A,N/A,N/A
RAVIOLI BREADED FRIED,3.99,240 ,10 g,3.0 g,0 g,15 mg,630 mg,30 g,2 g,3 g,7 g,0.1 mcg,80 mg,0.9 mg,110 mg
ALMOND BUTTER ORGANIC CREAMY SALTED,3.99,190 ,17 g,1.5 g,0 g,0 mg,100 mg,7 g,3 g,2 g,7 g,0 mcg,90 mg,1.2 mg,230 mg
