Name,Price,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
HOL AUTUMNAL PIE TRUFFLES,4.49,180 ,12 g,7 g,0 g,less than 5 mg,25 mg,15 g,less than 1 g,14 g,2 g,0.2 mcg,30 mg,0.8 mg,60 mg
HOL COINS OF THE WORLD,1.99,150 ,8 g,5 g,0 g,5 mg,15 mg,19 g,less than 1 g,18 g,2 g,,,,
COFFEE SMALL LOT BALE MOUNTAIN,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ EGG NOG HOLIDAY LIQUEUR,8.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL MAPLE ESPRESSO TEA,2.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRANBERRIES ORG 8 OZ,2.49,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL BRUSSELS SPROUTS 2LB,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL SAUCE CRANBERRY,3.99,110 ,0 g,0 g,0 g,0 mg,0 mg,27 g,2 g,25 g,0 g,,,,
HOL HM SPRL SLCD HF UNCRD ABF,4.99,110 ,7 g,2 g,0 g,40 mg,630 mg,2 g,Less than 1 g,Less than 1 g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg
HOL HM SPRL SLCD QTR UCRD ABF,5.99,110 ,7 g,2 g,0 g,40 mg,630 mg,2 g,less than 1 g,less than 1 g,11 g,0.2 mcg,10 mg,0.5 mg,210 mg
HOL THANKSGIVING & STUFFING KETTLE CHIPS,2.99,140 ,6 g,1 g,0 g,0 mg,135 mg,18 g,1 g,less than 1 g,2 g,0 mcg,10 mg,0.5 mg,380 mg
HOL COOKIE KIT TURKEY TROT,6.99,120 ,3.0 g,1.5 g,0 g,0 mg,60 mg,21 g,0 g,13 g,1 g,0.1 mcg,10 mg,0.6 mg,30 mg
HOL ADVENT CALENDAR,0.99,270 ,15 g,9 g,0 g,5 mg,20 mg,31 g,1 g,26 g,3 g,0 mcg,70 mg,0.9 mg,160 mg
SPARKLING CRANBERRY GINGER 4 PK,3.99,90 ,0 g,N/A,N/A,N/A,10 mg,22 g,N/A,22 g,0 g,N/A,N/A,N/A,N/A
HOL NUTS ABOUT ROSEMARY MIX,7.99,180 ,16 g,1.5 g,0 g,0 mg,140 mg,6 g,3 g,2 g,5 g,,,,
HOL TURKEY BREAST BONE-IN ,9.99,100,2.5 g,1.0 g,0 g,45 mg,390 mg,1 g,0 g,Less than 1 g,17 g,0.1 mcg,10 mg,0.5 mg,180 mg
ORG FREE RANGE CHICKEN STOCK,2.29,15 ,0 g,0 g,0 g,0 mg,380 mg,0 g,0 g,0 g,2 g,0 mcg,10 mg,0 mg,30 mg
GRAHAM CRACKER SQUARE,3.49,120 ,3 g,0 g,0 g,0 mg,125 mg,22 g,1 g,7 g,2 g,0 mcg,10 mg,0.8 mg,50 mg
TJ RES CHARD SONOMA VALLEY LOT 221,9.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL LECLAT SPARKLING ROSE,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL L ECLAT 1990 BLANC DE BLANCS 1.5L,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL INCANTO PROSECCO 1.5L,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TJ PLAT RES PINOT NOIR SLH LOT 102,14.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BUTTER QUARTERS UNSALTED,3.99,100 ,11 g,7 g,0 g,30 mg,0 mg,0 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,0 mg
BUTTER QUARTERS SALTED,3.99,100 ,11 g,7 g,0 g,30 mg,90 mg,0 g,0 g,0 g,0 g,0 mcg,0 mg,0 mg,0 mg
A-POTATO GOLD ORG 3 LB,3.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
R-HOL HARVEST APPLE SALAD COMPLETE,3.99,170 ,12 g,2 g,0 g,5 mg,170 mg,13 g,2 g,10 g,3 g,0.1 mcg,100 mg,1.0 mg,290 mg
HOL SCALLOPED POTATOES,5.99,170,8g,4.5g,0g,25mg,340mg,20g,2g,3g,5g,0.1mcg,130mg,0.4mg,290mg
ESPRESSO ITALIAN GROUND CAN,7.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PERI PERI SAUCE,3.49,10 ,1.0 g,0 g,0 g,0 mg,90 mg,0 g,0 g,0 g,0 g,,,,
CRACKERS ORG NAAN PLAIN,3.49,130 ,5.0 g,0.5 g,0 g,0 mg,250 mg,19 g,less than 1g g,less than 1g g,2 g,0.0 mcg,10 mg,1.2 mg,30 mg
HOL GF STUFFING MIX,6.49,160,5g,0g,0g,20mg,370mg,24g,0g,5g,4g,0mcg,156mg,2mg,47mg
HOL CORNBREAD STUFFING MIX,4.99,120 ,2 g,0 g,0 g,0 mg,420 mg,20 g,0 g,2 g,4 g,0 mcg,20 mg,2 mg,70 mg
HOL CRM OF PORTABELLA MSHRM SOUP,1.99,70 ,4.5 g,2.5 g,0 g,10 mg,600 mg,8 g,0 g,less than 1 g,2 g,,,,
HOL PUFF PASTRY SHEETS ALL BUTTER,4.99,120 ,8 g,4.5 g,0 g,25 mg,150 mg,11 g,0 g,0 g,2 g,0.1 mcg,10 mg,0.2 mg,20 mg
HOL PUFF PASTRY SHEETS ALL BUTTER,4.99,-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HOL CRANBERRY SAUCE,2.99,90 ,0 g,0 g,0 g,0 mg,5 mg,23 g,2 g,20 g,0 g,,,,
HOL TURKEY GRAVY,1.49,20 ,0.5 g,0 g,0 g,0 mg,230 mg,3 g,0 g,0 g,0 g,0 mcg,10 mg,0.1 mg,20 mg
CRANBERRY & ORANGE BARS,4.99,170,8g,5g,0g,55g,70mg,20g,0g,14g,2g,0.2mcg,10mg,0.2mg,20mg
HOL MARSHMALLOWS MINI,2.99,100 ,0 g,0 g,0 g,0 mg,20 mg,24 g,0 g,17 g,0 g,N/A,0 mg,0 mg,20 mg
